TreeID,north_acorn,south_acorn
3,13,11
12,0,16
15,1,2
16,0,11
17,1,1
18,23,37
27,1,0
35,11,36
49,0,0
51,2,6
56,69,41
57,9,72
77,0,1
78,0,0
87,0,0
111,1,8
