TreeID,dbh,cd_1cm,cd_2cm,sum_acorns
3,66,2034,1690,47
12,77,1270,810,22
15,325,1510,1455,3
16,335,1350,1250,17
17,120,730,330,13
18,267,1315,1290,136
27,43,1030,670,5
35,36,680,655,97
49,139,1200,1091,0
51,148,1400,850,14
56,70,1448,835,211
57,71,1548,1485,135
77,277,1353,1091,2
78,342,1300,820,0
87,61,1120,1790,0
111,69,1320,1910,19
