TreeID,north_acorn,south_acorn
3,50,118
12,8,66
15,42,6
16,23,14
17,13,5
18,231,390
27,2,5
35,209,202
49,5,6
51,26,62
56,145,57
57,18,12
77,18,16
78,12,17
87,7,2
111,12,21
