TreeID,dbh,cd_1,cd_2,acorn_sum
3,88,1191,1136,357
12,123,1343,1335,185
15,103,1620,1670,131
16,98,1090,1210,61
17,49,210,68,36
18,85,1220,1330,797
27,44,875,848,9
35,53,1072,1029,771
49,48,1200,1150,16
51,48,1200,1000,145
56,88,1577,1088,339
57,118,1207,2401,91
77,70,1265,1240,72
78,108,1320,611,47
87,182,980,1433,15
111,308,1661,1783,99
