TreeID,Latitude,Longitude
3,37.403663,-122.238896
12,37.406226,-122.238824
15,37.406554,-122.238807
16,37.406842,-122.238865
17,37.406857,-122.235193
18,37.406859,-122.234349
27,37.407063,-122.228282
35,37.407425,-122.226589
51,37.40926,-122.224776
56,37.405545,-122.225537
57,37.405485,-122.225453
77,37.399078,-122.230812
78,37.398964,-122.230901
87,37.398791,-122.234384
49,37.409111,-122.224785
111,37.405668,-122.2417
